SPEAKER	VOWEL	F0	F1	F2	F3
M	u	119.69	246	1043	2495
M	u	121.30	260	982	2512
M	u	118.35	278	947	2570
M	u	118.60	255	979	2512
M	u	119.47	283	920	2518
M	a	116.88	544	1440	2532
M	i	116.95	284	2050	3107
M	u	117.55	249	960	2478
M	a	114.15	537	1592	2734
M	u	120.25	280	924	2333
M	a	112.27	646	1485	2556
M	i	116.39	228	2038	2934
M	a	118.17	688	1607	2663
M	u	116.26	242	1453	2475
M	a	117.89	441	1644	2717
M	i	115.13	228	1996	3023
M	a	115.19	510	1538	2536
M	i	116.11	241	2054	2981
M	u	115.20	297	1068	3058
M	a	113.30	513	1707	2582
M	a	108.08	619	1507	2521
M	i	129.60	231	1991	3187
M	u	121.36	245	914	2462
M	a	112.16	515	1538	2685
M	i	110.90	220	2021	3002
M	u	119.92	260	979	2591
M	i	122.94	216	2073	3153
M	a	121.02	534	1537	2589
M	i	130.55	241	1975	2887
M	a	114.56	467	1610	2591
M	a	113.91	578	1649	2723
M	i	106.41	261	2120	2936
M	i	111.72	226	2116	3003
M	i	118.36	286	2403	3126
M	i	114.00	279	2139	2853
M	u	116.40	273	1021	2399
M	i	109.60	276	2038	2882
M	i	116.96	295	2201	2678
M	u	112.62	273	823	2712
M	a	119.51	670	1502	2514
M	a	115.11	524	1741	2442
M	a	114.45	621	1438	2545
M	i	115.55	263	2125	2991
M	u	118.32	277	1002	2521
M	a	112.76	603	1408	2414
M	i	113.68	232	2185	3067
M	a	109.68	604	1438	2549
M	i	141.84	221	2015	3130
M	u	133.23	265	1132	2517
M	u	130.10	260	952	2664
M	i	127.36	229	2152	3073
M	i	131.21	265	2044	2975
M	u	141.11	279	878	2566
M	a	120.34	561	1490	2572
M	u	120.39	260	1031	2444
M	a	90.36	1133	1522	3027
M	i	113.34	231	2060	3001
M	u	122.13	268	940	2514
M	u	125.66	249	1087	2451
M	u	118.78	298	983	2660
M	u	126.77	254	984	2592
M	u	120.62	281	875	2462
M	a	118.38	585	1484	2571
M	i	117.73	236	2021	3146
M	u	121.81	241	1231	2317
M	a	111.87	493	1594	2763
M	u	119.09	284	962	2325
M	a	110.43	701	1579	2591
M	i	110.22	221	2041	2877
M	a	113.46	668	1510	2631
M	u	109.70	246	1145	2356
M	a	123.01	499	1560	2669
M	i	116.34	236	2001	2934
M	a	120.04	569	1522	2496
M	i	121.72	277	2106	2946
M	u	123.80	265	818	2622
M	a	112.84	469	1732	2639
M	a	114.89	658	1565	2559
M	i	127.39	296	2156	3164
M	u	119.70	255	915	2386
M	a	112.84	506	1527	2664
M	i	112.17	222	2006	2944
M	i	120.44	237	2102	3029
M	a	114.24	603	1533	2535
M	i	117.04	237	2033	2917
M	a	111.65	583	1637	2687
M	a	112.67	501	1557	2683
M	i	114.74	310	2061	2868
M	i	118.16	261	2077	3075
M	i	123.77	274	2251	3135
M	i	118.64	280	2077	2778
M	a	122.28	530	1354	2597
M	i	116.50	161	2465	3299
M	i	117.67	274	2059	2946
M	i	120.73	303	2110	2714
M	u	121.59	285	769	2586
M	a	122.19	664	1540	2488
M	a	114.74	506	1662	2517
M	a	120.35	605	1403	2576
M	i	119.41	272	2168	2966
M	u	113.58	275	951	2559
